"","Well","OD","Time","Plate","ID","Strain","Condition","Medium","Replicate"
"2050","B8",0.8853,36,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2051","C8",0.9326,36,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2052","D8",0.6223,36,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2053","E8",0.4126,36,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2054","F8",0.2116,36,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2056","H8",0.116,36,1,"1-H8","Blank","","SD-His-Leu",2
"2057","A8",1.0307,38,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2058","B8",1.1356,38,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2059","C8",1.0983,38,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2060","D8",0.8053,38,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2061","E8",0.5548,38,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2062","F8",0.2647,38,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2064","H8",0.1134,38,1,"1-H8","Blank","","SD-His-Leu",2
"2065","A8",1.1832,40,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2066","B8",1.3586,40,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2067","C8",1.213,40,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2068","D8",1.0646,40,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2069","E8",0.7801,40,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2070","F8",0.3552,40,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2072","H8",0.1113,40,1,"1-H8","Blank","","SD-His-Leu",2
"2073","A8",1.2882,42,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2074","B8",1.4575,42,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2075","C8",1.3216,42,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2076","D8",1.3207,42,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2077","E8",1.0504,42,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2078","F8",0.4636,42,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2080","H8",0.116,42,1,"1-H8","Blank","","SD-His-Leu",2
"2081","A8",1.3565,44,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2082","B8",1.5819,44,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2083","C8",1.4002,44,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2084","D8",1.6821,44,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2085","E8",1.51,44,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2086","F8",0.9979,44,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2088","H8",0.364,44,1,"1-H8","Blank","","SD-His-Leu",2
"2089","A8",1.295,46,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2090","B8",1.5553,46,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2091","C8",1.3892,46,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2092","D8",1.5052,46,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2093","E8",1.2824,46,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2094","F8",0.6788,46,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2096","H8",0.6379,46,1,"1-H8","Blank","","SD-His-Leu",2
"2097","A8",1.3631,48,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2098","B8",1.5801,48,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2099","C8",1.465,48,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2100","D8",1.8063,48,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2101","E8",1.6958,48,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2102","F8",1.3234,48,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2104","H8",0.1128,48,1,"1-H8","Blank","","SD-His-Leu",2
"2105","A8",1.3872,50,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2106","B8",1.5553,50,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2107","C8",1.4619,50,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2108","D8",1.8119,50,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2109","E8",1.732,50,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2110","F8",1.4247,50,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2112","H8",0.1082,50,1,"1-H8","Blank","","SD-His-Leu",2
"2113","A8",1.5108,52,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2114","B8",1.615,52,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2115","C8",1.511,52,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2116","D8",1.8429,52,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2117","E8",1.7878,52,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2118","F8",1.619,52,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2120","H8",0.1076,52,1,"1-H8","Blank","","SD-His-Leu",2
"2121","A8",1.601,54,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2122","B8",1.6564,54,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2123","C8",1.6181,54,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2124","D8",1.8629,54,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2125","E8",1.8043,54,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2126","F8",1.7612,54,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2128","H8",0.1075,54,1,"1-H8","Blank","","SD-His-Leu",2
"2129","A8",1.6647,56,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2130","B8",1.7012,56,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2131","C8",1.6917,56,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2132","D8",1.8819,56,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2133","E8",1.8384,56,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2134","F8",1.7992,56,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2136","H8",0.108,56,1,"1-H8","Blank","","SD-His-Leu",2
"2137","A8",1.7002,58,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2138","B8",1.703,58,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2139","C8",1.7323,58,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2140","D8",1.8927,58,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2141","E8",1.8536,58,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2142","F8",1.8216,58,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2144","H8",0.1073,58,1,"1-H8","Blank","","SD-His-Leu",2
"2145","A8",1.7359,60,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2146","B8",1.7365,60,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2147","C8",1.7706,60,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2148","D8",1.8968,60,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2149","E8",1.8638,60,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2150","F8",1.8077,60,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2152","H8",0.1066,60,1,"1-H8","Blank","","SD-His-Leu",2
"2153","A8",1.756,62,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2154","B8",1.7578,62,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2155","C8",1.7926,62,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2156","D8",1.9012,62,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2157","E8",1.8768,62,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2158","F8",1.8248,62,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2160","H8",0.1067,62,1,"1-H8","Blank","","SD-His-Leu",2
"2161","A8",1.7693,64,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2162","B8",1.757,64,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2163","C8",1.8089,64,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2164","D8",1.9065,64,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2165","E8",1.8862,64,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2166","F8",1.8381,64,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2168","H8",0.1066,64,1,"1-H8","Blank","","SD-His-Leu",2
"2169","A8",1.7777,66,1,"1-A8","YHL033C-Y7039","Liquid","SD-His-Leu",2
"2170","B8",1.7577,66,1,"1-B8","YIL066C-Y7039","Liquid","SD-His-Leu",2
"2171","C8",1.8232,66,1,"1-C8","YML058W-A-Y7039","Liquid","SD-His-Leu",2
"2172","D8",1.9153,66,1,"1-D8","YHL033C-Y7039","Dried","SD-His-Leu",2
"2173","E8",1.893,66,1,"1-E8","YIL066C-Y7039","Dried","SD-His-Leu",2
"2174","F8",1.8447,66,1,"1-F8","YML058W-A-Y7039","Dried","SD-His-Leu",2
"2176","H8",0.1055,66,1,"1-H8","Blank","","SD-His-Leu",2
"2177","A9",0.1385,0,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2178","B9",0.143,0,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2179","C9",0.1424,0,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2180","D9",0.1807,0,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2181","E9",0.2245,0,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2182","F9",0.2125,0,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2184","H9",0.1037,0,1,"1-H9","Blank","","SD-His-Leu",3
"2185","A9",0.1502,2,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2186","B9",0.1463,2,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2187","C9",0.1458,2,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2188","D9",0.1826,2,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2189","E9",0.2264,2,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2190","F9",0.1985,2,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2192","H9",0.1029,2,1,"1-H9","Blank","","SD-His-Leu",3
"2193","A9",0.1543,4,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2194","B9",0.1436,4,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2195","C9",0.1441,4,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2196","D9",0.1823,4,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2197","E9",0.225,4,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2198","F9",0.1988,4,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2200","H9",0.1028,4,1,"1-H9","Blank","","SD-His-Leu",3
"2201","A9",0.158,6,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2202","B9",0.1385,6,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2203","C9",0.1339,6,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2204","D9",0.1832,6,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2205","E9",0.2239,6,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2206","F9",0.1771,6,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2208","H9",0.1028,6,1,"1-H9","Blank","","SD-His-Leu",3
"2209","A9",0.1561,8,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2210","B9",0.1322,8,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2211","C9",0.1321,8,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2212","D9",0.1804,8,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2213","E9",0.2241,8,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2214","F9",0.1669,8,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2216","H9",0.102,8,1,"1-H9","Blank","","SD-His-Leu",3
"2217","A9",0.1605,10,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2218","B9",0.1301,10,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2219","C9",0.1324,10,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2220","D9",0.1715,10,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2221","E9",0.2237,10,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2222","F9",0.1677,10,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2224","H9",0.1017,10,1,"1-H9","Blank","","SD-His-Leu",3
"2225","A9",0.1602,12,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2226","B9",0.1292,12,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2227","C9",0.13,12,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2228","D9",0.1737,12,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2229","E9",0.2246,12,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2230","F9",0.1602,12,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2232","H9",0.1012,12,1,"1-H9","Blank","","SD-His-Leu",3
"2233","A9",0.1574,14,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2234","B9",0.1285,14,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2235","C9",0.1304,14,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2236","D9",0.1705,14,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2237","E9",0.2255,14,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2238","F9",0.1545,14,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2240","H9",0.102,14,1,"1-H9","Blank","","SD-His-Leu",3
"2241","A9",0.1588,16,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2242","B9",0.1358,16,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2243","C9",0.1287,16,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2244","D9",0.1688,16,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2245","E9",0.2251,16,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2246","F9",0.1652,16,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2248","H9",0.1006,16,1,"1-H9","Blank","","SD-His-Leu",3
"2249","A9",0.1538,18,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2250","B9",0.1338,18,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2251","C9",0.1252,18,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2252","D9",0.1641,18,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2253","E9",0.2268,18,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2254","F9",0.1561,18,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2256","H9",0.1013,18,1,"1-H9","Blank","","SD-His-Leu",3
"2257","A9",0.166,20,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2258","B9",0.1398,20,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2259","C9",0.1287,20,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2260","D9",0.165,20,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2261","E9",0.2247,20,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2262","F9",0.1449,20,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2264","H9",0.1005,20,1,"1-H9","Blank","","SD-His-Leu",3
"2265","A9",0.1741,22,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2266","B9",0.1503,22,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2267","C9",0.1449,22,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2268","D9",0.1641,22,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2269","E9",0.2241,22,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2270","F9",0.1459,22,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2272","H9",0.1011,22,1,"1-H9","Blank","","SD-His-Leu",3
"2273","A9",0.2013,24,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2274","B9",0.18,24,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2275","C9",0.1741,24,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2276","D9",0.1616,24,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2277","E9",0.2282,24,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2278","F9",0.1458,24,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2280","H9",0.0999,24,1,"1-H9","Blank","","SD-His-Leu",3
"2281","A9",0.2483,26,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2282","B9",0.1987,26,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2283","C9",0.201,26,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2284","D9",0.1594,26,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2285","E9",0.2342,26,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2286","F9",0.1476,26,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2288","H9",0.0999,26,1,"1-H9","Blank","","SD-His-Leu",3
"2289","A9",0.3416,28,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2290","B9",0.2503,28,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2291","C9",0.242,28,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2292","D9",0.1641,28,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2293","E9",0.2455,28,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2294","F9",0.1413,28,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2296","H9",0.1003,28,1,"1-H9","Blank","","SD-His-Leu",3
"2297","A9",0.5,30,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2298","B9",0.3173,30,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2299","C9",0.3255,30,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2300","D9",0.1677,30,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2301","E9",0.2662,30,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2302","F9",0.1506,30,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2304","H9",0.0999,30,1,"1-H9","Blank","","SD-His-Leu",3
"2305","A9",0.7375,32,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2306","B9",0.4319,32,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2307","C9",0.4273,32,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2308","D9",0.179,32,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2309","E9",0.3015,32,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2310","F9",0.1766,32,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2312","H9",0.0994,32,1,"1-H9","Blank","","SD-His-Leu",3
"2313","A9",0.9999,34,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2314","B9",0.5921,34,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2315","C9",0.5955,34,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2316","D9",0.2035,34,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2317","E9",0.3618,34,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2318","F9",0.2049,34,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2320","H9",0.0994,34,1,"1-H9","Blank","","SD-His-Leu",3
"2321","A9",1.2044,36,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2322","B9",0.7736,36,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2323","C9",0.7794,36,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2324","D9",0.2513,36,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2325","E9",0.4727,36,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2326","F9",0.2487,36,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2328","H9",0.0994,36,1,"1-H9","Blank","","SD-His-Leu",3
"2329","A9",1.3657,38,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2330","B9",0.9652,38,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2331","C9",0.9489,38,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2332","D9",0.3348,38,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2333","E9",0.62,38,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2334","F9",0.318,38,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2336","H9",0.0991,38,1,"1-H9","Blank","","SD-His-Leu",3
"2337","A9",1.5059,40,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2338","B9",1.1295,40,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2339","C9",1.0937,40,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2340","D9",0.445,40,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2341","E9",0.8518,40,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2342","F9",0.4337,40,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2344","H9",0.0973,40,1,"1-H9","Blank","","SD-His-Leu",3
"2345","A9",1.605,42,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2346","B9",1.3098,42,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2347","C9",1.2478,42,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2348","D9",0.6081,42,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2349","E9",1.1274,42,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2350","F9",0.6703,42,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2352","H9",0.0965,42,1,"1-H9","Blank","","SD-His-Leu",3
"2353","A9",1.4711,44,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2354","B9",1.5539,44,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2355","C9",1.4679,44,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2356","D9",1.1567,44,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2357","E9",1.6441,44,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2358","F9",1.075,44,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2360","H9",0.1119,44,1,"1-H9","Blank","","SD-His-Leu",3
"2361","A9",1.3792,46,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2362","B9",1.4924,46,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2363","C9",1.4269,46,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2364","D9",0.8239,46,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2365","E9",1.4196,46,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2366","F9",0.8939,46,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2368","H9",0.1217,46,1,"1-H9","Blank","","SD-His-Leu",3
"2369","A9",1.4519,48,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2370","B9",1.5876,48,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2371","C9",1.5366,48,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2372","D9",1.5117,48,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2373","E9",1.7951,48,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2374","F9",1.368,48,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2376","H9",0.0948,48,1,"1-H9","Blank","","SD-His-Leu",3
"2377","A9",1.4812,50,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2378","B9",1.5909,50,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2379","C9",1.523,50,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2380","D9",1.5949,50,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2381","E9",1.8292,50,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2382","F9",1.443,50,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2384","H9",0.0941,50,1,"1-H9","Blank","","SD-His-Leu",3
"2385","A9",1.6102,52,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2386","B9",1.673,52,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2387","C9",1.6079,52,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
