"","Well","OD","Time","Plate","ID","Strain","State","Trehalose","Condition","Medium","Replicate"
"161","A1",0.1647,40,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"162","B1",1.0973,40,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"163","C1",1.6081,40,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"164","D1",0.4952,40,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"167","G1",0.1129,40,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"168","H1",0.1074,40,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"169","A1",0.1645,42,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"170","B1",1.1456,42,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"171","C1",1.6358,42,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"172","D1",0.8248,42,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"175","G1",0.1121,42,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"176","H1",0.1075,42,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"177","A1",0.1622,44,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"178","B1",1.164,44,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"179","C1",1.6298,44,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"180","D1",1.0596,44,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"183","G1",0.1126,44,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"184","H1",0.1071,44,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"185","A1",0.1608,46,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"186","B1",1.1767,46,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"187","C1",1.4221,46,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"188","D1",1.319,46,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"191","G1",0.1126,46,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"192","H1",0.1072,46,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"193","A1",0.1576,48,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"194","B1",1.1338,48,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
