"","Well","OD","Time","Plate","ID","Strain","Trehalose","Condition","Medium","Replicate"
"209","A1",0.1036,52,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"210","B1",0.103,52,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"211","C1",0.5135,52,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"212","D1",0.3721,52,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"213","E1",0.1052,52,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"214","F1",0.1103,52,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"215","G1",0.1069,52,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"217","A1",0.1033,54,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"218","B1",0.1029,54,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"219","C1",0.5089,54,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"220","D1",0.7594,54,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"221","E1",0.105,54,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"222","F1",0.1088,54,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"223","G1",0.1051,54,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"225","A1",0.1028,56,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"226","B1",0.1026,56,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"227","C1",0.5204,56,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"228","D1",0.857,56,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"229","E1",0.105,56,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"230","F1",0.1109,56,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"231","G1",0.0964,56,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"233","A1",0.1028,58,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"234","B1",0.1018,58,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"235","C1",0.4957,58,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"236","D1",0.9621,58,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"237","E1",0.1046,58,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"238","F1",0.1152,58,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"239","G1",0.0965,58,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"241","A1",0.1026,60,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"242","B1",0.1012,60,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"243","C1",0.4703,60,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"244","D1",1.1815,60,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"245","E1",0.1041,60,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"246","F1",0.1121,60,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"247","G1",0.1064,60,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"249","A1",0.1026,62,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"250","B1",0.1011,62,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"251","C1",0.463,62,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"252","D1",1.244,62,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"253","E1",0.1034,62,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"254","F1",0.1152,62,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"255","G1",0.0966,62,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"257","A1",0.1028,64,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"258","B1",0.1011,64,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"259","C1",0.4595,64,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"260","D1",1.4056,64,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"261","E1",0.1036,64,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"262","F1",0.1152,64,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"263","G1",0.1041,64,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"265","A1",0.1028,66,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"266","B1",0.1012,66,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"267","C1",0.4545,66,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"268","D1",1.5871,66,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"269","E1",0.104,66,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"270","F1",0.1148,66,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"271","G1",0.1018,66,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"273","A1",0.102,68,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"274","B1",0.1007,68,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"275","C1",0.4285,68,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"276","D1",1.6621,68,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"277","E1",0.1026,68,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"278","F1",0.1113,68,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"279","G1",0.0962,68,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
"281","A1",0.1178,70,1,"1-A1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS",1
"282","B1",0.1178,70,1,"1-B1","Y7039 x YHL033C","Growth Medium","Heat Shock","SD-HIS-LEU",1
"283","C1",0.4113,70,1,"1-C1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS",1
"284","D1",1.662,70,1,"1-D1","Y7039 x YHL033C","Growth Medium","RT","SD-HIS-LEU",1
"285","E1",0.1091,70,1,"1-E1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS",1
"286","F1",0.1164,70,1,"1-F1","Y7039 x YHL033C","Sporulation Medium","Heat Shock","SD-HIS-LEU",1
"287","G1",0.1053,70,1,"1-G1","Blank","Growth Medium","","SD-HIS",1
