"","Well","OD","Time","Plate","ID","Strain","Trehalose","Condition","Medium","Replicate"
"1697","A6",0.1091,64,1,"1-A6","Y7039 x YHL033C","No","Heat Shock","SD-HIS",3
"1698","B6",0.1111,64,1,"1-B6","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",3
"1699","C6",1.8183,64,1,"1-C6","Y7039 x YHL033C","No","RT","SD-HIS",3
"1700","D6",1.8163,64,1,"1-D6","Y7039 x YHL033C","No","RT","SD-HIS-LEU",3
"1701","E6",0.1018,64,1,"1-E6","Y7039 x YHL033C","No","Heat Shock","SD-HIS",6
"1702","F6",0.108,64,1,"1-F6","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",6
"1703","G6",0.0952,64,1,"1-G6","Blank","No","","SD-HIS",3
"1705","A6",0.1089,66,1,"1-A6","Y7039 x YHL033C","No","Heat Shock","SD-HIS",3
"1706","B6",0.1108,66,1,"1-B6","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",3
"1707","C6",1.8186,66,1,"1-C6","Y7039 x YHL033C","No","RT","SD-HIS",3
"1708","D6",1.8315,66,1,"1-D6","Y7039 x YHL033C","No","RT","SD-HIS-LEU",3
"1709","E6",0.1016,66,1,"1-E6","Y7039 x YHL033C","No","Heat Shock","SD-HIS",6
"1710","F6",0.1088,66,1,"1-F6","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",6
"1711","G6",0.0956,66,1,"1-G6","Blank","No","","SD-HIS",3
"1713","A6",0.1089,68,1,"1-A6","Y7039 x YHL033C","No","Heat Shock","SD-HIS",3
"1714","B6",0.1106,68,1,"1-B6","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",3
"1715","C6",1.8354,68,1,"1-C6","Y7039 x YHL033C","No","RT","SD-HIS",3
"1716","D6",1.8355,68,1,"1-D6","Y7039 x YHL033C","No","RT","SD-HIS-LEU",3
"1717","E6",0.1011,68,1,"1-E6","Y7039 x YHL033C","No","Heat Shock","SD-HIS",6
"1718","F6",0.1091,68,1,"1-F6","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",6
"1719","G6",0.0967,68,1,"1-G6","Blank","No","","SD-HIS",3
"1721","A6",0.1243,70,1,"1-A6","Y7039 x YHL033C","No","Heat Shock","SD-HIS",3
"1722","B6",0.1331,70,1,"1-B6","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",3
"1723","C6",1.8177,70,1,"1-C6","Y7039 x YHL033C","No","RT","SD-HIS",3
"1724","D6",1.8328,70,1,"1-D6","Y7039 x YHL033C","No","RT","SD-HIS-LEU",3
"1725","E6",0.1222,70,1,"1-E6","Y7039 x YHL033C","No","Heat Shock","SD-HIS",6
"1726","F6",0.1239,70,1,"1-F6","Y7039 x YHL033C","No","Heat Shock","SD-HIS-LEU",6
"1727","G6",0.1093,70,1,"1-G6","Blank","No","","SD-HIS",3
"1729","A7",0.1066,0,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1730","B7",0.0975,0,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1731","C7",0.1172,0,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1732","D7",0.103,0,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1733","E7",0.1123,0,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1734","F7",0.1213,0,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1735","G7",0.111,0,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1737","A7",0.1069,2,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1738","B7",0.1006,2,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1739","C7",0.1208,2,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1740","D7",0.1064,2,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1741","E7",0.1237,2,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1742","F7",0.13,2,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1743","G7",0.1175,2,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1745","A7",0.107,4,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1746","B7",0.1007,4,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1747","C7",0.123,4,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1748","D7",0.1101,4,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1749","E7",0.1246,4,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1750","F7",0.1346,4,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1751","G7",0.1193,4,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1753","A7",0.1067,6,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1754","B7",0.0995,6,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1755","C7",0.1229,6,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1756","D7",0.1112,6,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1757","E7",0.1217,6,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1758","F7",0.1231,6,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1759","G7",0.1182,6,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1761","A7",0.1067,8,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1762","B7",0.0982,8,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1763","C7",0.1226,8,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1764","D7",0.1126,8,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1765","E7",0.1213,8,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1766","F7",0.1188,8,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1767","G7",0.1176,8,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1769","A7",0.1067,10,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1770","B7",0.0983,10,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1771","C7",0.1214,10,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1772","D7",0.1123,10,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1773","E7",0.1143,10,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1774","F7",0.1128,10,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1775","G7",0.1171,10,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1777","A7",0.1068,12,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1778","B7",0.0976,12,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1779","C7",0.1202,12,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1780","D7",0.1099,12,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1781","E7",0.1144,12,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1782","F7",0.1081,12,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1783","G7",0.1167,12,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1785","A7",0.1066,14,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1786","B7",0.0977,14,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1787","C7",0.1194,14,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1788","D7",0.1088,14,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1789","E7",0.1086,14,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1790","F7",0.11,14,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1791","G7",0.1162,14,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1793","A7",0.1066,16,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1794","B7",0.0977,16,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1795","C7",0.1193,16,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1796","D7",0.108,16,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1797","E7",0.1078,16,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1798","F7",0.1111,16,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1799","G7",0.1162,16,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1801","A7",0.1066,18,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1802","B7",0.0979,18,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1803","C7",0.1189,18,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1804","D7",0.1068,18,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1805","E7",0.1072,18,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1806","F7",0.1064,18,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1807","G7",0.1158,18,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1809","A7",0.1066,20,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1810","B7",0.0981,20,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1811","C7",0.1175,20,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1812","D7",0.1067,20,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1813","E7",0.1046,20,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1814","F7",0.1125,20,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1815","G7",0.1151,20,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1817","A7",0.1066,22,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1818","B7",0.0968,22,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1819","C7",0.117,22,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1820","D7",0.1062,22,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1821","E7",0.1054,22,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1822","F7",0.1118,22,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1823","G7",0.1149,22,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1825","A7",0.1207,24,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1826","B7",0.1157,24,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1827","C7",0.6588,24,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1828","D7",0.1269,24,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1829","E7",0.499,24,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1830","F7",0.1304,24,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1831","G7",0.1036,24,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1833","A7",0.1241,26,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1834","B7",0.1169,26,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1835","C7",0.6728,26,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1836","D7",0.1327,26,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1837","E7",1.1478,26,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1838","F7",0.1476,26,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1839","G7",0.1001,26,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1841","A7",0.1291,28,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1842","B7",0.1145,28,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1843","C7",1.5637,28,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1844","D7",0.1432,28,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1845","E7",1.5496,28,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1846","F7",0.1541,28,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1847","G7",0.1048,28,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1849","A7",0.1261,30,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1850","B7",0.1131,30,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1851","C7",1.6035,30,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1852","D7",0.1791,30,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1853","E7",1.651,30,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1854","F7",0.2196,30,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1855","G7",0.1027,30,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1857","A7",0.1331,32,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1858","B7",0.1122,32,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1859","C7",1.6805,32,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1860","D7",0.2573,32,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1861","E7",1.7284,32,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1862","F7",0.3516,32,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1863","G7",0.1005,32,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1865","A7",0.15,34,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1866","B7",0.1109,34,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1867","C7",1.6777,34,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1868","D7",0.4855,34,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1869","E7",1.7944,34,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1870","F7",0.5331,34,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1871","G7",0.0996,34,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1873","A7",0.5339,36,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1874","B7",0.1104,36,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1875","C7",1.7008,36,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1876","D7",0.6051,36,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1877","E7",1.8198,36,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1878","F7",0.7615,36,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1879","G7",0.0956,36,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1881","A7",0.4717,38,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1882","B7",0.1099,38,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1883","C7",1.7429,38,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1884","D7",0.9532,38,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1885","E7",1.8318,38,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1886","F7",1.1263,38,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1887","G7",0.0972,38,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1889","A7",0.6839,40,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1890","B7",0.1095,40,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1891","C7",1.7518,40,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1892","D7",1.2336,40,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1893","E7",1.8316,40,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1894","F7",1.411,40,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1895","G7",0.0949,40,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1897","A7",0.774,42,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1898","B7",0.1092,42,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1899","C7",1.7968,42,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1900","D7",1.484,42,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1901","E7",1.8275,42,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1902","F7",1.605,42,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1903","G7",0.1016,42,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1905","A7",1.3713,44,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1906","B7",0.1123,44,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1907","C7",1.7056,44,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1908","D7",1.664,44,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1909","E7",1.7352,44,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1910","F7",1.7095,44,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1911","G7",0.1018,44,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1913","A7",1.6633,46,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1914","B7",0.1174,46,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1915","C7",1.7707,46,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1916","D7",1.75,46,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1917","E7",1.806,46,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1918","F7",1.718,46,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1919","G7",0.1114,46,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1921","A7",1.5248,48,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1922","B7",0.1081,48,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1923","C7",1.7912,48,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1924","D7",1.7757,48,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1925","E7",1.8306,48,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1926","F7",1.7066,48,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1927","G7",0.0947,48,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1929","A7",1.5154,50,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1930","B7",0.1077,50,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1931","C7",1.7973,50,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1932","D7",1.7878,50,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1933","E7",1.8586,50,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1934","F7",1.7141,50,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1935","G7",0.0997,50,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1937","A7",1.4791,52,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1938","B7",0.107,52,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1939","C7",1.8177,52,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1940","D7",1.7972,52,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1941","E7",1.8427,52,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1942","F7",1.7267,52,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1943","G7",0.0983,52,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1945","A7",1.515,54,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1946","B7",0.1075,54,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1947","C7",1.808,54,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1948","D7",1.81,54,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1949","E7",1.8504,54,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1950","F7",1.7457,54,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1951","G7",0.0946,54,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1953","A7",1.5395,56,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1954","B7",0.1084,56,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1955","C7",1.8307,56,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1956","D7",1.8115,56,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1957","E7",1.8094,56,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1958","F7",1.7406,56,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1959","G7",0.0986,56,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1961","A7",1.5257,58,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1962","B7",0.1093,58,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1963","C7",1.8351,58,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1964","D7",1.8258,58,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1965","E7",1.8351,58,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1966","F7",1.7544,58,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1967","G7",0.0944,58,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1969","A7",1.5396,60,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1970","B7",0.1131,60,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
"1971","C7",1.8433,60,1,"1-C7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS",1
"1972","D7",1.8329,60,1,"1-D7","Y7039 x YHL033C","Sporulation Medium","RT","SD-HIS-LEU",1
"1973","E7",1.8412,60,1,"1-E7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS",1
"1974","F7",1.751,60,1,"1-F7","Y7039 x YHL033C","Sporulation Medium","Cold Shock","SD-HIS-LEU",1
"1975","G7",0.0939,60,1,"1-G7","Blank","Growth Medium","","SD-HIS-LEU",1
"1977","A7",1.5474,62,1,"1-A7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS",1
"1978","B7",0.1202,62,1,"1-B7","Y7039 x YHL033C","Growth Medium","Cold Shock","SD-HIS-LEU",1
