OD,Time,Strain,Replicate,Cycles,Temperature
0.094,2,YIL066C,1,10,Liquid Nitrogen
0.194,4,YIL066C,1,10,Liquid Nitrogen
0.572,6,YIL066C,1,10,Liquid Nitrogen
1.15,8,YIL066C,1,10,Liquid Nitrogen
1.904,10,YIL066C,1,10,Liquid Nitrogen
0.063,0,YIL066C,1,20,Liquid Nitrogen
0.105,2,YIL066C,1,20,Liquid Nitrogen
0.207,4,YIL066C,1,20,Liquid Nitrogen
0.563,6,YIL066C,1,20,Liquid Nitrogen
1.173,8,YIL066C,1,20,Liquid Nitrogen
1.82,10,YIL066C,1,20,Liquid Nitrogen
0.063,0,YIL066C,1,30,Liquid Nitrogen
0.087,2,YIL066C,1,30,Liquid Nitrogen
0.202,4,YIL066C,1,30,Liquid Nitrogen
0.517,6,YIL066C,1,30,Liquid Nitrogen
1.046,8,YIL066C,1,30,Liquid Nitrogen
1.615,10,YIL066C,1,30,Liquid Nitrogen
0.063,0,YIL066C,1,40,Liquid Nitrogen
0.1,2,YIL066C,1,40,Liquid Nitrogen
0.209,4,YIL066C,1,40,Liquid Nitrogen
0.598,6,YIL066C,1,40,Liquid Nitrogen
1.168,8,YIL066C,1,40,Liquid Nitrogen
1.565,10,YIL066C,1,40,Liquid Nitrogen
0.063,0,YIL066C,1,50,Liquid Nitrogen
0.086,2,YIL066C,1,50,Liquid Nitrogen
0.184,4,YIL066C,1,50,Liquid Nitrogen
0.534,6,YIL066C,1,50,Liquid Nitrogen
1.109,8,YIL066C,1,50,Liquid Nitrogen
1.685,10,YIL066C,1,50,Liquid Nitrogen
